,date,country,market_volume
52,2021-06-17,UK,335009.6007927056
53,2021-06-18,UK,388868.66825805826
54,2021-06-19,UK,523089.388113521
55,2021-06-20,UK,610471.0087949017
56,2021-06-21,UK,341094.22101740894
57,2021-06-22,UK,333336.18437913165
58,2021-06-23,UK,307182.75260825804
59,2021-06-24,UK,316121.1878988225
60,2021-06-25,UK,475613.37245214183
61,2021-06-26,UK,465191.50711809326
62,2021-06-27,UK,457152.3675929307
63,2021-06-28,UK,299272.8947578178
64,2021-06-29,UK,276051.74962647527
65,2021-06-30,UK,297780.4330563741
66,2021-07-01,UK,311357.6490492278
67,2021-07-02,UK,351724.8771060323
68,2021-07-03,UK,493681.10181947163
69,2021-07-04,UK,628188.0417964049
70,2021-07-05,UK,351720.7494139517
71,2021-07-06,UK,342637.88362809
72,2021-07-07,UK,371570.69317875773
73,2021-07-08,UK,463378.90574444475
74,2021-07-09,UK,419030.03556249803
75,2021-07-10,UK,582917.1544408024
76,2021-07-11,UK,582377.460762354
77,2021-07-12,UK,401607.259933807
78,2021-07-13,UK,391842.5991499787
79,2021-07-14,UK,328847.3890354876
80,2021-07-15,UK,341316.71890215605
81,2021-07-16,UK,360361.9020948773
82,2021-07-17,UK,490200.9279994053
83,2021-07-18,UK,456200.0432278458
84,2021-07-19,UK,393947.0359021387
85,2021-07-20,UK,415817.83811858844
86,2021-07-21,UK,449725.86489278777
87,2021-07-22,UK,437568.72711467417
88,2021-07-23,UK,484783.2268565594
89,2021-07-24,UK,541444.4959125286
90,2021-07-25,UK,582634.754519541
91,2021-07-26,UK,503398.80077451287
92,2021-07-27,UK,502224.0220163703
93,2021-07-28,UK,462044.28658841964
94,2021-07-29,UK,441091.1084922306
95,2021-07-30,UK,481310.55585994874
96,2021-07-31,UK,627446.7965216152
97,2021-08-01,UK,726503.7460769034
98,2021-08-02,UK,515643.7864975198
99,2021-08-03,UK,508415.1940637302
100,2021-08-04,UK,465725.9436813026
101,2021-08-05,UK,533788.9536513269
102,2021-08-06,UK,511599.8751427972
103,2021-08-07,UK,605448.2510812865
104,2021-08-08,UK,582179.012161961
105,2021-08-09,UK,542937.003775343
106,2021-08-10,UK,505881.7980950654
107,2021-08-11,UK,533364.6076179454
108,2021-08-12,UK,542556.7045880662
109,2021-08-13,UK,652166.5322425333
110,2021-08-14,UK,836568.8804471359
111,2021-08-15,UK,825844.8229667655
112,2021-08-16,UK,735575.5502343818
113,2021-08-17,UK,632913.4806275357
114,2021-08-18,UK,427917.94509239134
115,2021-08-19,UK,590556.6438129902
116,2021-08-20,UK,451518.3742373349
117,2021-08-21,UK,638598.3032654232
118,2021-08-22,UK,636084.6360604941
119,2021-08-23,UK,522252.20212264406
120,2021-08-24,UK,626734.2619087293
121,2021-08-25,UK,647598.2634854184
122,2021-08-26,UK,631007.4739342771
123,2021-08-27,UK,697600.6722852584
