date,platform,country,networks,market_volume
2021-11-30,Android,WW,other,6994514.322388632
2021-11-30,Android,WW,AdMob,5180832.556892863
2021-12-05,iOS,WW,IronSource,4464672.058226072
2021-12-05,iOS,WW,Facebook,4197774.625297297
2021-12-05,iOS,WW,other,3779576.3509313613
2021-12-05,iOS,WW,AdMob,11944988.725126354
2021-12-05,iOS,WW,Chartboost,1902585.1722490329
2021-12-05,iOS,WW,AppLovin,4294670.018125334
2021-12-05,iOS,WW,Amazon,21236010.003000002
2021-12-05,iOS,WW,Unity,4537420.104699271
2021-12-02,iOS,WW,AdMob,6924968.025337621
2021-12-02,iOS,WW,AppLovin,2759879.576511628
2021-12-02,iOS,WW,Chartboost,1021391.9586801828
2021-12-02,iOS,WW,IronSource,3637536.727990278
2021-12-02,iOS,WW,Facebook,4443064.5004390245
2021-12-02,iOS,WW,Amazon,6016750.460651162
2021-12-02,iOS,WW,other,2437974.7188895536
2021-12-02,iOS,WW,Unity,3346415.6256664735
2021-12-04,Android,WW,Amazon,21016488.003000002
2021-12-04,Android,WW,AppLovin,7343335.932296561
2021-12-04,Android,WW,IronSource,5981759.502838152
2021-12-04,Android,WW,AdMob,4107748.5747091016
2021-12-04,Android,WW,Chartboost,4658455.606728
2021-12-04,Android,WW,Unity,3812121.8932254207
2021-12-04,Android,WW,Facebook,8923912.8201688
2021-12-04,Android,WW,other,4644878.063736106
2021-12-01,Android,WW,AdMob,3460212.963137622
2021-12-01,Android,WW,Amazon,14745631.046292864
2021-12-01,Android,WW,Facebook,6676974.974549809
2021-12-01,Android,WW,other,4332729.950210204
2021-12-01,Android,WW,AppLovin,5781474.283711198
2021-12-01,Android,WW,Chartboost,3356407.363429724
2021-12-01,Android,WW,Unity,3116514.7457017074
2021-12-01,Android,WW,IronSource,5585955.637783072
2021-11-29,Android,WW,Amazon,8724613.822095836
2021-11-29,Android,WW,Chartboost,4000049.9148453395
2021-11-29,Android,WW,AppLovin,5517402.670334029
2021-11-29,Android,WW,other,6870851.952444894
2021-11-29,Android,WW,Facebook,7421982.501621718
2021-11-29,Android,WW,IronSource,9480860.854319176
2021-11-29,Android,WW,AdMob,5156236.4688890055
2021-11-29,Android,WW,Unity,2875820.986720482
2021-12-08,Android,WW,other,5566974.47745934
2021-12-08,Android,WW,Chartboost,3206727.3240595534
2021-12-08,Android,WW,Amazon,12453876.514206473
2021-12-08,Android,WW,AdMob,4953301.414697227
2021-12-08,Android,WW,IronSource,6327227.016835495
2021-12-08,Android,WW,Unity,2870218.3789388076
2021-12-08,Android,WW,Facebook,7660888.452495171
2021-12-08,Android,WW,AppLovin,5869375.1860361
2021-12-11,Android,WW,AdMob,6929876.235061197
2021-12-11,Android,WW,IronSource,12058105.462200567
